max,f
2000,920
4000,67
6000,133
8000,149
10000,218
12000,247
14000,234
16000,229
18000,224
20000,229
22000,226
24000,283
26000,243
28000,244
30000,224
32000,226
34000,238
36000,238
38000,248
40000,252
42000,258
44000,234
46000,239
48000,225
50000,251
52000,217
54000,214
56000,260
58000,265
60000,222
62000,270
64000,270
66000,263
68000,243
70000,249
72000,231
74000,243
76000,228
78000,246
80000,238
82000,242
84000,236
86000,240
88000,250
90000,231
92000,252
94000,216
96000,253
98000,246
100000,1017
102000,325
104000,246
106000,241
108000,260
110000,261
112000,251
114000,251
116000,254
118000,239
120000,247
122000,264
124000,213
126000,214
128000,243
130000,208
132000,216
134000,227
136000,226
138000,226
140000,243
142000,235
144000,230
146000,221
148000,221
150000,221
152000,255
154000,217
156000,233
158000,230
160000,208
162000,215
164000,234
166000,206
168000,196
170000,228
172000,213
174000,201
176000,219
178000,209
180000,247
182000,205
184000,189
186000,198
188000,199
190000,231
192000,175
194000,226
196000,196
198000,207
200000,176
202000,206
204000,179
206000,216
208000,203
210000,186
212000,161
214000,216
216000,223
218000,196
220000,190
222000,177
224000,190
226000,178
228000,156
230000,156
232000,165
234000,168
236000,173
238000,155
240000,172
242000,167
244000,185
246000,184
248000,162
250000,595
252000,183
254000,172
256000,169
258000,177
260000,200
262000,171
264000,147
266000,149
268000,154
270000,166
272000,194
274000,153
276000,159
278000,159
280000,142
282000,143
284000,153
286000,130
288000,150
290000,134
292000,150
294000,136
296000,162
298000,134
300000,143
302000,147
304000,166
306000,140
308000,146
310000,146
312000,139
314000,130
316000,148
318000,137
320000,138
322000,147
324000,138
326000,133
328000,128
330000,148
332000,128
334000,136
336000,121
338000,147
340000,122
342000,125
344000,154
346000,131
348000,134
350000,1333
352000,122
354000,111
356000,117
358000,114
360000,115
362000,97
364000,99
366000,111
368000,99
370000,124
372000,91
374000,114
376000,94
378000,111
380000,95
382000,84
384000,99
386000,84
388000,89
390000,98
392000,96
394000,84
396000,108
398000,116
400000,107
402000,105
404000,119
406000,80
408000,86
410000,103
412000,109
414000,97
416000,79
418000,90
420000,85
422000,108
424000,105
426000,96
428000,104
430000,95
432000,101
434000,99
436000,103
438000,97
440000,120
442000,94
444000,80
446000,90
448000,88
450000,86
452000,88
454000,107
456000,72
458000,78
460000,80
462000,80
464000,80
466000,86
468000,81
470000,86
472000,72
474000,83
476000,84
478000,86
480000,71
482000,67
484000,79
486000,83
488000,91
490000,59
492000,89
494000,62
496000,88
498000,89
500000,529
502000,78
504000,77
506000,73
508000,75
510000,75
512000,78
514000,74
516000,74
518000,63
520000,72
522000,60
524000,65
526000,54
528000,53
530000,73
532000,70
534000,70
536000,57
538000,56
540000,67
542000,64
544000,61
546000,58
548000,60
550000,62
552000,62
554000,57
556000,62
558000,54
560000,54
562000,62
564000,60
566000,69
568000,58
570000,51
572000,61
574000,53
576000,55
578000,59
580000,44
582000,52
584000,50
586000,54
588000,57
590000,68
592000,58
594000,49
596000,69
598000,64
600000,52
602000,50
604000,41
606000,58
608000,42
610000,50
612000,46
614000,69
616000,42
618000,58
620000,51
622000,54
624000,50
626000,52
628000,48
630000,43
632000,46
634000,44
636000,48
638000,64
640000,43
642000,50
644000,55
646000,42
648000,43
650000,34
652000,35
654000,49
656000,45
658000,48
660000,48
662000,54
664000,47
666000,43
668000,53
670000,56
672000,50
674000,41
676000,48
678000,50
680000,47
682000,48
684000,46
686000,48
688000,36
690000,51
692000,52
694000,40
696000,53
698000,50
700000,63
702000,42
704000,41
706000,45
708000,45
710000,42
712000,51
714000,35
716000,59
718000,49
720000,45
722000,36
724000,47
726000,54
728000,49
730000,49
732000,50
734000,42
736000,48
738000,53
740000,54
742000,55
744000,54
746000,56
748000,98
750000,4871
752000,20
754000,15
756000,17
758000,16
760000,20
762000,30
764000,14
766000,16
768000,9
770000,18
772000,8
774000,12
776000,25
778000,10
780000,13
782000,11
784000,10
786000,16
788000,10
790000,10
792000,12
794000,7
796000,5
798000,11
800000,11
802000,8
804000,12
806000,10
808000,12
810000,14
812000,14
814000,15
816000,12
818000,17
820000,12
822000,8
824000,15
826000,13
828000,16
830000,16
832000,13
834000,7
836000,13
838000,15
840000,15
842000,15
844000,10
846000,10
848000,6
850000,51
852000,7
854000,13
856000,10
858000,10
860000,10
862000,8
864000,8
866000,8
868000,6
870000,10
872000,12
874000,13
876000,14
878000,13
880000,9
882000,18
884000,17
886000,9
888000,10
890000,12
892000,9
894000,16
896000,10
898000,12
900000,112
902000,43
904000,94
906000,24
908000,9
910000,11
912000,10
914000,9
916000,10
918000,41
920000,5
922000,12
924000,15
926000,14
928000,10
930000,13
932000,24
934000,114
936000,72
938000,9
940000,5
942000,7
944000,9
946000,8
948000,6
950000,83
952000,5
954000,8
956000,4
958000,4
960000,5
962000,7
964000,13
966000,5
968000,8
970000,5
972000,7
974000,5
976000,4
978000,4
980000,6
982000,9
984000,9
986000,4
988000,5
990000,37
992000,8
994000,18
996000,17
998000,55
1000000,987
