max,f
50,3791
100,3977
150,4069
200,3539
250,3309
300,3778
350,2882
400,2721
450,2528
500,2344
550,2855
600,1997
650,1859
700,1711
750,1602
800,1518
850,1328
900,1241
950,1157
1000,1024
1050,1164
1100,899
1150,798
1200,743
1250,616
1300,604
1350,598
1400,544
1450,504
1500,455
1550,429
1600,379
1650,368
1700,333
1750,255
1800,210
1850,206
1900,208
1950,177
2000,180
2050,177
2100,119
2150,127
2200,93
2250,87
2300,76
2350,88
2400,56
2450,46
2500,36
2550,44
2600,37
2650,21
2700,14
2750,17
2800,8
2850,9
2900,7
2950,4
3000,8
3050,5
3100,2
3150,3
3200,2
3250,1
3300,3
3350,2
3400,0
3450,3
3500,2
3550,1
3600,0
3650,0
3700,1
3750,0
3800,0
3850,0
3900,0
3950,0
4000,0
4050,0
4100,0
4150,0
4200,0
4250,0
4300,0
4350,0
4400,0
4450,0
4500,0
4550,1
4600,0
4650,0
4700,0
4750,0
4800,0
4850,0
4900,0
4950,0
5000,0
